msno,is_churn,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,city,bd,gender,registered_via,trans_month,trans_year,expire_month,expire_year,registration_month,registration_year,membership_duration,autorenew_._not_cancel,registration_duration,reg_mem_duration
288479,0,37,30,149,149,1,5,24,0,9,3,2016,4,2016,2,2006,30,1,3707,3677
115370,0,39,30,149,149,1,13,24,1,9,11,2015,12,2015,3,2014,43,1,630,587
35620,0,34,0,0,149,1,13,19,1,9,9,2015,10,2015,3,2011,31,1,1687,1656
121290,0,41,30,149,149,1,14,29,0,7,10,2015,11,2015,2,2012,32,1,1369,1337
106462,0,40,30,149,149,1,13,32,0,9,1,2017,2,2017,12,2008,33,1,2982,2949
241187,0,41,30,119,119,1,13,29,1,7,11,2015,12,2015,12,2010,31,1,1836,1805
342266,0,38,30,149,149,0,5,14,0,3,12,2016,1,2017,12,2012,30,0,1491,1461
170473,0,38,30,149,149,0,13,17,1,9,2,2016,3,2016,12,2011,30,0,1535,1505
35057,0,38,195,894,894,0,15,24,1,9,2,2015,9,2015,1,2015,198,0,225,27
324831,0,39,30,149,149,1,4,36,0,3,11,2016,1,2017,5,2012,46,1,1713,1667
7696,0,34,30,149,149,1,14,44,1,9,5,2016,6,2016,5,2006,30,1,3712,3682
253715,0,41,30,149,149,1,13,32,1,7,2,2017,3,2017,1,2012,30,1,1885,1855
96469,0,37,30,149,149,1,17,21,1,9,7,2016,8,2016,2,2011,30,1,1996,1966
212208,0,34,0,0,149,1,20,29,0,3,8,2015,9,2015,1,2013,30,1,984,954
224262,0,33,30,149,149,1,4,26,0,3,3,2016,4,2016,8,2015,30,1,253,223
199944,0,39,30,149,149,1,6,26,1,3,7,2015,9,2015,11,2012,54,1,1043,989
64038,0,33,30,149,149,1,3,26,0,9,5,2016,6,2016,4,2012,30,1,1541,1511
341555,0,34,30,149,149,1,22,26,1,9,5,2016,6,2016,11,2006,30,1,3512,3482
94666,0,39,31,149,149,1,6,30,1,9,3,2015,5,2015,3,2008,32,1,2616,2584
216604,0,41,30,149,149,1,5,36,1,7,5,2015,6,2015,11,2011,32,1,1308,1276
44946,0,39,31,149,149,1,13,34,0,9,2,2015,4,2015,9,2007,53,1,2772,2719
323877,0,39,30,149,149,1,15,25,1,9,9,2016,11,2016,3,2011,54,1,2074,2020
218748,0,38,30,149,149,0,13,20,0,3,2,2015,3,2015,1,2014,30,0,420,390
179626,0,40,30,149,149,1,13,27,1,9,2,2016,3,2016,7,2008,29,1,2812,2783
164515,0,34,30,149,149,1,4,46,0,9,2,2017,3,2017,9,2006,31,1,3850,3819
40682,0,36,30,150,150,0,13,18,0,3,7,2015,8,2015,4,2012,33,0,1232,1199
326123,0,37,30,149,149,1,13,25,0,9,1,2017,2,2017,6,2006,30,1,3904,3874
374534,0,39,30,149,149,1,15,26,1,3,9,2016,11,2016,10,2012,50,1,1493,1443
260979,0,37,0,0,149,1,13,32,1,9,5,2015,6,2015,1,2007,30,1,3049,3019
151864,0,37,30,149,149,1,22,44,1,9,10,2016,11,2016,7,2007,31,1,3407,3376
359055,0,27,30,149,149,1,4,38,0,9,5,2015,6,2015,11,2006,30,1,3141,3111
389878,1,38,30,149,149,0,9,21,0,3,1,2016,2,2016,7,2014,30,0,575,545
80704,1,41,30,149,149,1,5,42,1,7,6,2016,7,2016,4,2010,30,1,2289,2259
4930,1,38,30,149,149,0,5,16,1,3,4,2016,5,2016,8,2015,30,0,253,223
277331,1,36,30,150,150,0,13,26,0,9,7,2015,8,2015,9,2013,30,0,702,672
361179,1,30,30,129,129,1,22,35,0,9,8,2016,9,2016,8,2016,30,1,30,0
80114,1,38,30,149,149,0,8,21,1,3,6,2016,7,2016,10,2014,30,0,661,631
13841,1,35,7,0,0,0,13,22,0,9,7,2016,8,2016,12,2015,35,0,257,222
282561,1,41,30,149,149,1,5,0,1,7,6,2015,8,2016,9,2013,411,1,1065,654
329953,1,38,30,149,149,0,5,19,1,3,1,2016,3,2016,12,2014,32,0,427,395
31730,1,33,30,149,149,1,13,27,1,9,11,2015,12,2015,8,2008,31,1,2697,2666
161330,1,36,30,180,180,0,9,41,1,7,2,2017,3,2017,10,2013,30,0,1235,1205
216591,1,38,30,149,149,0,6,17,1,3,12,2016,1,2017,2,2015,32,0,715,683
43470,1,39,30,149,149,1,13,35,1,3,7,2016,9,2016,10,2012,34,1,1412,1378
25416,1,40,30,149,149,1,13,33,0,9,1,2017,2,2017,10,2016,33,1,123,90
308682,1,36,30,150,150,0,5,29,1,3,4,2015,5,2015,11,2014,30,0,163,133
312287,1,38,30,149,149,0,5,19,0,9,2,2015,3,2015,2,2011,30,0,1493,1463
226537,1,41,30,129,129,1,18,22,0,7,3,2016,4,2016,9,2015,38,1,213,175
113637,1,39,30,149,149,1,13,23,1,9,1,2017,3,2017,1,2005,37,1,4421,4384
171707,1,32,180,536,536,0,13,33,1,4,8,2016,2,2017,2,2016,190,0,369,179
294685,1,38,30,149,149,0,5,17,1,3,1,2017,2,2017,4,2015,30,0,671,641
291718,1,39,31,149,149,1,5,27,0,9,3,2015,5,2015,4,2011,35,1,1490,1455
229649,1,34,30,149,149,1,18,23,1,3,11,2016,12,2016,10,2012,31,1,1547,1516
86496,1,40,30,149,149,1,4,29,1,3,5,2016,6,2016,6,2015,30,1,376,346
95111,1,38,7,0,0,0,12,27,1,9,7,2016,10,2016,9,2015,78,0,389,311
250423,1,38,30,149,149,0,4,16,0,9,11,2016,12,2016,2,2016,30,0,322,292
223805,1,40,31,149,149,1,13,23,0,3,2,2015,3,2015,2,2014,27,1,390,363
86657,1,38,30,149,149,0,14,17,1,3,6,2015,7,2015,7,2013,30,0,714,684
337909,1,32,90,298,298,0,4,0,1,9,9,2016,12,2016,9,2016,93,0,96,3
145609,1,41,30,149,149,1,9,37,0,7,2,2016,3,2016,4,2010,30,1,2159,2129
114904,1,38,30,149,149,0,14,0,0,3,12,2016,2,2017,5,2015,55,0,643,588
97484,1,28,30,150,150,0,12,19,1,9,8,2015,10,2015,6,2010,38,0,1942,1904
